1,江苏省南京市兴江公寓,118.792622,32.068711
2,江苏省南京市美丽嘉园,118.742108,32.025889
3,江苏省南京市山阴路小区,118.772587,32.061092
4,江苏省南京市东郊小镇第八街区,118.953535,32.063079
5,江苏省南京市武夷路小区,118.774725,32.064071
6,江苏省南京市陶苑,118.904182,31.892904
7,江苏省南京市嘉业国际城,118.734841,32.004683
8,江苏省南京市亚东名座,118.789404,32.033845
9,江苏省南京市大纱帽巷38号小区,118.799361,32.05688
10,江苏省南京市万裕龙庭水岸,118.912429,31.914287
11,江苏省南京市沙塘园,118.800769,32.058174
12,江苏省南京市辰龙广场,118.744606,32.050577
13,江苏省南京市莱茵东郡,118.870833,31.940164
14,江苏省南京市水佐岗48巷小区,118.770959,32.076649
15,江苏省南京市大钟新村,118.791854,32.06741
16,江苏省南京市锦绣花园,118.939756,32.063731
17,江苏省南京市汇贤居,118.748346,32.056412
18,江苏省南京市马家街小区,118.788518,32.07948
19,江苏省南京市苏宁乐瑰园,118.757266,32.051111
20,江苏省南京市嘉业国际城,118.734841,32.004683
21,江苏省南京市百水芊城云水坊,118.91505,32.052241
22,江苏省南京市安乐村小区,118.770282,32.09813
23,江苏省南京市莲花新城南苑,118.720369,31.967761
24,江苏省南京市沙塘园,118.800769,32.058174
25,江苏省南京市宁工新寓二村,118.743903,32.065386
26,江苏省南京市金马郦城西区,118.721453,32.012936
27,江苏省南京市瑞园,118.741545,32.057914
28,江苏省南京市三牌楼小区,118.772337,32.08656
29,江苏省南京市骋望骊都,118.901304,31.889347
30,江苏省南京市长江之家,118.738587,32.055641
31,江苏省南京市利德家园,118.747734,32.034689
32,江苏省南京市宁和新寓,118.770726,32.084701
33,江苏省南京市程阁老巷小区,118.79157,32.040004
34,江苏省南京市幸福城杜鹃园,118.910148,32.037313
61,江苏省南京市晶典国际大厦,118.7599,32.092034
62,江苏省南京市紫竹林小区,118.779746,32.091616
63,江苏省南京市钱塘路小区,118.771392,32.064769
64,江苏省南京市仁恒国际公寓,118.740392,32.012035
65,江苏省南京市百合果园,118.743305,32.076255
66,江苏省南京市上海路新村,118.78141,32.05955
67,江苏省南京市紫鑫国际公寓,118.737126,32.017042
68,江苏省南京市银城聚泽园,118.746691,32.048581
69,江苏省南京市华富园,118.770591,32.088771
70,江苏省南京市黑龙江路十二巷,118.781726,32.09322
71,江苏省南京市进香河路小区,118.797137,32.060089
72,江苏省南京市新门口小区,118.773489,32.089207
73,江苏省南京市莫愁新寓荷花里,118.763365,32.044081
74,江苏省南京市东郊小镇第二街区,118.959341,32.05884
